_index,_id,_version,_score,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.uid,_source.data.dstuser,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.parent,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.srcip,_source.data.srcport,_source.syscheck.uname_after,_source.syscheck.mtime_after,_source.syscheck.size_after,_source.syscheck.gid_after,_source.syscheck.mode,_source.syscheck.path,_source.syscheck.sha1_after,_source.syscheck.gname_after,_source.syscheck.uid_after,_source.syscheck.perm_after,_source.syscheck.event,_source.syscheck.md5_after,_source.syscheck.sha256_after,_source.syscheck.inode_after,_source.data.srcuser,_source.data.tty,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.syscheck.size_before,_source.syscheck.md5_before,_source.syscheck.sha256_before,_source.syscheck.changed_attributes,_source.syscheck.sha1_before,_source.syscheck.mtime_before,_source.data.extra_data,_source.data.status,_source.data.file,_source.data.title,_source.data.euid,_source.data.logname,_source.data.audit.pid,_source.data.audit.id,_source.data.audit.type,_source.data.audit.command
wazuh-alerts-4.x-2023.10.20,jMBgTosBpjjGT_ibfNgr,1,1,sohaib-virtual-machine,sshd,Oct 20 23:37:04,192.168.40.131,machine-2,002,ubuntu,0,sohaib(uid=1000),false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]","[""AU.14"",""AC.7""]","[""IV_32.2""]",2,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",5501,"[""7.8"",""7.9""]",pam,pam,Oct 20 23:37:04 sohaib-virtual-machine sshd[3949]: pam_unix(sshd:session): session opened for user sohaib(uid=1000) by (uid=0),log,"Oct 20, 2023 @ 18:37:04.077",/var/log/auth.log,1697827024.8714764,"Oct 20, 2023 @ 18:37:04.077", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,jcBgTosBpjjGT_ibfNgr,1,1,sohaib-virtual-machine,sshd,Oct 20 23:37:04,192.168.40.131,machine-2,002,ubuntu, ,sohaib,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication success.,"[""syslog"",""sshd"",""authentication_success""]","[""AU.14"",""AC.7""]","[""IV_32.2""]",1,"[""Valid Accounts"",""Remote Services""]","[""T1078"",""T1021""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access"",""Lateral Movement""]",5715,"[""7.1"",""7.2""]",sshd,sshd,Oct 20 23:37:04 sohaib-virtual-machine sshd[3949]: Accepted password for sohaib from 192.168.204.1 port 61328 ssh2,log,"Oct 20, 2023 @ 18:37:04.071",/var/log/auth.log,1697827024.8715226,"Oct 20, 2023 @ 18:37:04.071",192.168.204.1,61328, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,ksBhTosBpjjGT_ibethL,1,1, , , ,192.168.40.131,machine-2,002,ubuntu, , ,false,5,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",File added to the system.,"[""ossec"",""syscheck"",""syscheck_entry_added"",""syscheck_file""]","[""SI.7""]","[""II_5.1.f""]",2, , , ,554,"[""4.11""]", ,syscheck_new_entry,"File '/tmp/.X1-lock' added
Mode: realtime
",log,"Oct 20, 2023 @ 18:38:08.694",syscheck,1697827088.8717572,"Oct 20, 2023 @ 18:38:08.694", , ,sohaib,2023-10-20T18:38:10,11,1000,realtime,/tmp/.X1-lock,8ceee1fc7295a4e45609f617ba76c70f4d666539,sohaib,1000,r--r--r--,added,c4f3d64a6509c9fbd949d65ae915f835,0933371f657cc04f8e9ff0c057ee0df484c9a15d1653124831cee54e98afd1cf,547126, , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,psBtTosBpjjGT_ibkNiS,1,1,sohaib-virtual-machine,sudo,Oct 20 23:51:21,192.168.40.131,machine-2,002,ubuntu, ,root,false,3,"[""10.2.5"",""10.2.2""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Successful sudo to ROOT executed.,"[""syslog"",""sudo""]","[""AU.14"",""AC.7"",""AC.6""]","[""IV_32.2""]",1,"[""Sudo and Sudo Caching""]","[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",5402,"[""7.6"",""7.8"",""7.13""]",sudo,sudo,Oct 20 23:51:21 sohaib-virtual-machine sudo:   sohaib : TTY=pts/0 ; PWD=/home/sohaib ; USER=root ; COMMAND=/bin/bash,log,"Oct 20, 2023 @ 18:51:20.251",/var/log/auth.log,1697827880.8722108,"Oct 20, 2023 @ 18:51:20.251", , , , , , , , , , , , , , , , ,sohaib,pts/0,/home/sohaib,/bin/bash,First time user executed the sudo command, , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,i8BfTosBpjjGT_ib-diz,1,1,sohaib-virtual-machine,systemd,Oct 20 23:36:24,192.168.40.131,machine-2,002,ubuntu,0,sohaib(uid=1000),false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]","[""AU.14"",""AC.7""]","[""IV_32.2""]",1,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",5501,"[""7.8"",""7.9""]",pam,pam,Oct 20 23:36:24 sohaib-virtual-machine systemd: pam_unix(systemd-user:session): session opened for user sohaib(uid=1000) by (uid=0),log,"Oct 20, 2023 @ 18:36:23.583",/var/log/auth.log,1697826983.8714297,"Oct 20, 2023 @ 18:36:23.583", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,mMBjTosBpjjGT_ibYtjb,1,1,sohaib-virtual-machine,systemd,Oct 20 23:40:11,192.168.40.131,machine-2,002,ubuntu, , ,false,5, , , ,Systemd: Service exited due to a failure.,"[""local"",""systemd""]", ,"[""IV_35.7.d""]",5, , , ,40704,"[""4.3""]", ,systemd,"Oct 20 23:40:11 sohaib-virtual-machine systemd[3972]: tracker-extract-3.service: Main process exited, code=exited, status=1/FAILURE",log,"Oct 20, 2023 @ 18:40:09.768",/var/log/syslog,1697827209.8718916,"Oct 20, 2023 @ 18:40:09.768", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,lcBiTosBpjjGT_ibi9jl,1,1,sohaib-virtual-machine,systemd,Oct 20 23:39:12,192.168.40.131,machine-2,002,ubuntu, , ,false,5, , , ,Systemd: Service exited due to a failure.,"[""local"",""systemd""]", ,"[""IV_35.7.d""]",4, , , ,40704,"[""4.3""]", ,systemd,"Oct 20 23:39:12 sohaib-virtual-machine systemd[3972]: tracker-extract-3.service: Main process exited, code=exited, status=1/FAILURE",log,"Oct 20, 2023 @ 18:39:12.011",/var/log/syslog,1697827152.8718589,"Oct 20, 2023 @ 18:39:12.011", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,rMBuTosBpjjGT_ibdtjD,1,1, , , ,192.168.40.131,machine-2,002,ubuntu, , ,false,7,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]","[""SI.7""]","[""II_5.1.f""]",2,"[""Stored Data Manipulation""]","[""T1565.001""]","[""Impact""]",550,"[""4.11""]", ,syscheck_integrity_changed,"File '/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '61900' to '74587'
Old md5sum was: 'e4a144f5973f5ed84c98c85fcd514894'
New md5sum is : '2d26b2e0f8069ddbcec18a86545549f6'
Old sha1sum was: '26ebed9d2a5eca0d264ae73c9038ba5f3b2feb30'
New sha1sum is : 'b9d66d55e0d2aa79255d864f17ec5b7c27d5f8a2'
Old sha256sum was: 'f7d70bc3cae1644afa000b79c082f9fd91460fb0f1c14c66eab1d763ab65ca05'
New sha256sum is : '092c3ec61d8c8813ba5c9225b27029ca1d8ded0bba16005c04ec1822a0f32a7e'
",log,"Oct 20, 2023 @ 18:52:22.594",syscheck,1697827942.8725935,"Oct 20, 2023 @ 18:52:22.594", , ,root,2023-10-20T18:52:24,74587,0,realtime,/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z,b9d66d55e0d2aa79255d864f17ec5b7c27d5f8a2,root,0,rw-r--r--,modified,2d26b2e0f8069ddbcec18a86545549f6,092c3ec61d8c8813ba5c9225b27029ca1d8ded0bba16005c04ec1822a0f32a7e,547124, , , , , ,61900,e4a144f5973f5ed84c98c85fcd514894,f7d70bc3cae1644afa000b79c082f9fd91460fb0f1c14c66eab1d763ab65ca05,"[""size"",""md5"",""sha1"",""sha256""]",26ebed9d2a5eca0d264ae73c9038ba5f3b2feb30, , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,rsBuTosBpjjGT_ibdtjD,1,1, , , ,192.168.40.131,machine-2,002,ubuntu, , ,false,7,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]","[""SI.7""]","[""II_5.1.f""]",4,"[""Stored Data Manipulation""]","[""T1565.001""]","[""Impact""]",550,"[""4.11""]", ,syscheck_integrity_changed,"File '/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '115813' to '127436'
Old md5sum was: 'e734147fab97b6025186c88538f41ae8'
New md5sum is : '98ce7421c6c5700d7115809149087ed9'
Old sha1sum was: '5e4f88f33ed7a97a77faaa810de139cd5317dac3'
New sha1sum is : 'ce38e3c9aaf5f0ce99171e90c3b5dba4eee6692b'
Old sha256sum was: '55aa1209d4323257680c143e1ddf7610c69ef2dc2211938a304afaf9f56405c3'
New sha256sum is : 'd434bda14c539032bbc0fc574b1ae60c9ec61adc2994f976b5f49cc64ec4e391'
",log,"Oct 20, 2023 @ 18:52:22.621",syscheck,1697827942.8728379,"Oct 20, 2023 @ 18:52:22.621", , ,root,2023-10-20T18:52:24,127436,0,realtime,/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z,ce38e3c9aaf5f0ce99171e90c3b5dba4eee6692b,root,0,rw-r--r--,modified,98ce7421c6c5700d7115809149087ed9,d434bda14c539032bbc0fc574b1ae60c9ec61adc2994f976b5f49cc64ec4e391,547124, , , , , ,115813,e734147fab97b6025186c88538f41ae8,55aa1209d4323257680c143e1ddf7610c69ef2dc2211938a304afaf9f56405c3,"[""size"",""md5"",""sha1"",""sha256""]",5e4f88f33ed7a97a77faaa810de139cd5317dac3, , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,r8BuTosBpjjGT_ibdtjD,1,1, , , ,192.168.40.131,machine-2,002,ubuntu, , ,false,7,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]","[""SI.7""]","[""II_5.1.f""]",5,"[""Stored Data Manipulation""]","[""T1565.001""]","[""Impact""]",550,"[""4.11""]", ,syscheck_integrity_changed,"File '/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z' modified
Mode: realtime
Changed attributes: size,md5,sha1,sha256
Size changed from '98897' to '115813'
Old md5sum was: '6373f2d34768dd6de1a66679ea8898b1'
New md5sum is : 'e734147fab97b6025186c88538f41ae8'
Old sha1sum was: '5cfdf1e8972da4b5d860a7521e9971f326a2a246'
New sha1sum is : '5e4f88f33ed7a97a77faaa810de139cd5317dac3'
Old sha256sum was: '3bfcab295f1ebfc5f2bf683ba81c733e960a7a306e2ff8b10d54f4bc328c2bd2'
New sha256sum is : '55aa1209d4323257680c143e1ddf7610c69ef2dc2211938a304afaf9f56405c3'
",log,"Oct 20, 2023 @ 18:52:22.621",syscheck,1697827942.8729604,"Oct 20, 2023 @ 18:52:22.621", , ,root,2023-10-20T18:52:24,115813,0,realtime,/tmp/0bff46518b35ddfe37f4a7820286aab829d81f1480d9eeca5aaedc9ceda6724f.7z,5e4f88f33ed7a97a77faaa810de139cd5317dac3,root,0,rw-r--r--,modified,e734147fab97b6025186c88538f41ae8,55aa1209d4323257680c143e1ddf7610c69ef2dc2211938a304afaf9f56405c3,547124, , , , , ,98897,6373f2d34768dd6de1a66679ea8898b1,3bfcab295f1ebfc5f2bf683ba81c733e960a7a306e2ff8b10d54f4bc328c2bd2,"[""size"",""md5"",""sha1"",""sha256""]",5cfdf1e8972da4b5d860a7521e9971f326a2a246, , , , , , , , , , , 
